ts,open,high,low,close,volume,taker_buy_volume,taker_sell_volume,delta,ratio,cum_delta,taker_total,taker_ratio_to_volume,close_pct_change,price_change,price_rolling_max,price_rolling_min,delta_rolling_max,delta_rolling_min
2026-01-06 07:20:00,3228.8,3231.54,3228.0,3230.3,5294.073,2853.139,2440.934,412.2049999999999,1.1688718334866899,65413.48099999999,5294.073,1.0,0.046456888007928576,1.5,3245.99,3228.8,412.2049999999999,-5961.811
2026-01-06 07:25:00,3230.3,3230.56,3228.26,3230.13,2633.154,1066.304,1566.85,-500.5459999999998,0.6805399368159046,64912.93499999999,2633.154,1.0,-0.005262669101946393,-0.17000000000007276,3243.82,3228.8,412.2049999999999,-5961.811
2026-01-06 07:30:00,3230.14,3231.4,3226.68,3229.76,4710.968,1198.002,3512.966,-2314.964,0.34102294186735654,62597.97099999999,4710.968,1.0,-0.011454647336173185,-0.3799999999996544,3240.75,3228.8,412.2049999999999,-5961.811
2026-01-06 07:35:00,3229.75,3229.76,3223.67,3226.0,16172.201000000001,5315.616,10856.585,-5540.968999999999,0.4896213680452924,57057.00199999999,16172.201,0.9999999999999999,-0.1164173189339257,-3.75,3238.83,3226.0,412.2049999999999,-5961.811
2026-01-06 07:40:00,3226.0,3233.52,3225.99,3229.55,6923.956,3897.593,3026.363,871.23,1.2878802047209803,57928.231999999996,6923.956,1.0,0.11004339739615343,3.550000000000182,3238.83,3226.0,871.23,-5540.968999999999
2026-01-06 07:45:00,3229.55,3230.5,3226.26,3230.5,2659.322,1605.654,1053.668,551.9860000000001,1.5238708967150945,58480.21799999999,2659.322,1.0,0.02941586289111342,0.9499999999998181,3234.65,3226.0,871.23,-5540.968999999999
2026-01-06 07:50:00,3230.49,3230.94,3226.0,3226.01,2316.129,834.865,1481.264,-646.3989999999999,0.5636166139189234,57833.818999999996,2316.129,1.0,-0.1389877727905775,-4.479999999999563,3234.65,3226.0,871.23,-5540.968999999999
2026-01-06 07:55:00,3226.0,3227.0,3223.26,3223.48,4225.88,961.484,3263.814,-2302.33,0.2945890911675727,55531.488999999994,4225.298,0.9998622772061676,-0.07842505137926059,-2.519999999999982,3231.74,3223.48,871.23,-5540.968999999999
2026-01-06 08:00:00,3223.49,3228.64,3223.48,3228.64,3786.73,1905.227,1881.503,23.72400000000016,1.0126090683884108,55555.212999999996,3786.73,1.0,0.1600754464119447,5.150000000000091,3230.5,3223.48,871.23,-5540.968999999999
2026-01-06 08:05:00,3228.65,3229.5,3220.09,3220.33,6819.711,2310.674,4509.037,-2198.3630000000003,0.5124539896212872,53356.85,6819.711,1.0,-0.2573839139699663,-8.320000000000164,3230.5,3220.33,871.23,-5540.968999999999
2026-01-06 08:10:00,3220.33,3220.39,3215.1,3215.56,11201.098,3873.04,7328.058,-3455.018,0.5285220177023708,49901.831999999995,11201.098,1.0,-0.14812146581251184,-4.769999999999982,3230.5,3215.56,871.23,-5540.968999999999
2026-01-06 08:15:00,3215.56,3218.61,3213.35,3217.72,11728.245,6946.432,4781.813,2164.6189999999997,1.4526774677303356,52066.450999999994,11728.244999999999,0.9999999999999999,0.06717336949084718,2.1599999999998545,3230.5,3215.56,2164.6189999999997,-5540.968999999999
2026-01-06 08:20:00,3217.72,3220.72,3215.1,3215.11,6427.697999999999,4181.926,2245.772,1936.1540000000005,1.8621329324615323,54002.604999999996,6427.698,1.0000000000000002,-0.08111333490793404,-2.6099999999996726,3230.5,3215.11,2164.6189999999997,-5540.968999999999
2026-01-06 08:25:00,3215.1,3220.0,3214.0,3219.7,4334.859,2388.69,1946.169,442.52099999999996,1.2273805615031377,54445.126,4334.859,1.0,0.1427633891219804,4.599999999999909,3230.5,3215.11,2164.6189999999997,-3455.018
2026-01-06 08:30:00,3219.7,3219.7,3205.72,3206.88,13333.437,4208.405,9125.032,-4916.6269999999995,0.4611934511572124,49528.498999999996,13333.436999999998,0.9999999999999999,-0.3981737428952914,-12.819999999999709,3230.5,3206.88,2164.6189999999997,-4916.6269999999995
2026-01-06 08:35:00,3206.88,3208.6,3202.34,3202.96,11390.5,6099.081,5291.419,807.6620000000003,1.1526361832241976,50336.16099999999,11390.5,1.0,-0.12223719004141875,-3.9200000000000728,3228.64,3202.96,2164.6189999999997,-4916.6269999999995
2026-01-06 08:40:00,3202.96,3207.71,3201.79,3205.3,10318.219,5274.567,5043.652,230.91499999999996,1.0457832935341296,50567.075999999994,10318.219000000001,1.0000000000000002,0.07305742188477016,2.3400000000001455,3228.64,3202.96,2164.6189999999997,-4916.6269999999995
2026-01-06 08:45:00,3205.3,3208.1,3203.11,3207.91,6058.741,3175.46,2883.281,292.1790000000001,1.1013355964957976,50859.25499999999,6058.741,1.0,0.08142763547873688,2.6099999999996726,3228.64,3202.96,2164.6189999999997,-4916.6269999999995
2026-01-06 08:50:00,3207.9,3213.73,3207.8,3212.55,9543.81,6536.251,3007.559,3528.692,2.1732744062543743,54387.94699999999,9543.810000000001,1.0000000000000002,0.14464246191445707,4.650000000000091,3220.33,3202.96,3528.692,-4916.6269999999995
2026-01-06 08:55:00,3212.55,3215.52,3212.54,3214.93,6122.032999999999,3200.307,2921.726,278.5809999999997,1.0953480921893428,54666.52799999999,6122.032999999999,1.0,0.07408445004746245,2.3799999999996544,3219.7,3202.96,3528.692,-4916.6269999999995
